ID,ASGN_ID,NAME,TC_STATUS,WEEK_START,WEEK_END,SUBMITTED_HOURS
TC26,ASGN13,Timecard 26,SUBMITTED,26-Jan-25,1-Feb-25,29
TC27,ASGN13,Timecard 27,SUBMITTED,2-Feb-25,8-Feb-25,35
TC28,ASGN14,Timecard 28,SUBMITTED,9-Feb-25,15-Feb-25,23
TC29,ASGN14,Timecard 29,CANCELLED,16-Feb-25,22-Feb-25,40
TC30,ASGN14,Timecard 30,DRAFT,23-Feb-25,1-Mar-25,33
TC31,ASGN15,Timecard 31,SUBMITTED,26-Jan-25,1-Feb-25,37
TC32,ASGN15,Timecard 32,SUBMITTED,2-Feb-25,8-Feb-25,35
TC33,ASGN15,Timecard 33,SUBMITTED,9-Feb-25,15-Feb-25,19
TC34,ASGN16,Timecard 34,SUBMITTED,9-Feb-25,15-Feb-25,31
TC35,ASGN17,Timecard 35,SUBMITTED,26-Jan-25,1-Feb-25,29
TC36,ASGN17,Timecard 36,SUBMITTED,2-Feb-25,8-Feb-25,14
TC37,ASGN17,Timecard 37,SUBMITTED,9-Feb-25,15-Feb-25,33
TC38,ASGN18,Timecard 38,SUBMITTED,26-Jan-25,1-Feb-25,25
TC39,ASGN18,Timecard 39,CANCELLED,2-Feb-25,8-Feb-25,36
TC40,ASGN18,Timecard 40,DRAFT,9-Feb-25,15-Feb-25,15
TC41,ASGN19,Timecard 41,SUBMITTED,29-Dec-24,4-Jan-25,39
TC42,ASGN19,Timecard 42,SUBMITTED,5-Jan-25,11-Jan-25,18
TC43,ASGN19,Timecard 43,SUBMITTED,12-Jan-25,18-Jan-25,19
TC44,ASGN19,Timecard 44,SUBMITTED,19-Jan-25,25-Jan-25,21
TC45,ASGN19,Timecard 45,SUBMITTED,26-Jan-25,1-Feb-25,23
TC46,ASGN19,Timecard 46,SUBMITTED,2-Feb-25,8-Feb-25,17
TC47,ASGN19,Timecard 47,SUBMITTED,9-Feb-25,15-Feb-25,19
TC48,ASGN21,Timecard 48,SUBMITTED,22-Dec-24,28-Dec-24,18
TC49,ASGN21,Timecard 49,CANCELLED,29-Dec-24,4-Jan-25,26
TC50,ASGN21,Timecard 50,DRAFT,5-Jan-25,11-Jan-25,33
TC51,ASGN21,Timecard 51,SUBMITTED,12-Jan-25,18-Jan-25,22
TC52,ASGN23,Timecard 52,SUBMITTED,15-Dec-24,21-Dec-24,28
TC53,ASGN23,Timecard 53,SUBMITTED,22-Dec-24,28-Dec-24,19
TC54,ASGN23,Timecard 54,SUBMITTED,29-Dec-24,4-Jan-25,12
TC55,ASGN23,Timecard 55,SUBMITTED,5-Jan-25,11-Jan-25,16
TC56,ASGN23,Timecard 56,SUBMITTED,12-Jan-25,18-Jan-25,18
TC57,ASGN25,Timecard 57,NOT APPROVED,9-Feb-25,15-Feb-25,11
TC58,ASGN25,Timecard 58,NOT APPROVED,16-Feb-25,22-Feb-25,10
TC59,ASGN25,Timecard 59,NOT APPROVED,23-Feb-25,1-Mar-25,23
TC60,ASGN26,Timecard 60,SUBMITTED,10-Nov-24,16-Nov-24,20
TC61,ASGN26,Timecard 61,SUBMITTED,17-Nov-24,23-Nov-24,40
TC62,ASGN26,Timecard 62,SUBMITTED,24-Nov-24,30-Nov-24,21
TC63,ASGN26,Timecard 63,SUBMITTED,1-Dec-24,7-Dec-24,24
TC64,ASGN26,Timecard 64,SUBMITTED,8-Dec-24,14-Dec-24,36
TC65,ASGN26,Timecard 65,SUBMITTED,15-Dec-24,21-Dec-24,18
TC66,ASGN26,Timecard 66,SUBMITTED,22-Dec-24,28-Dec-24,23
TC67,ASGN26,Timecard 67,SUBMITTED,29-Dec-24,4-Jan-25,40
TC68,ASGN27,Timecard 68,SUBMITTED,22-Dec-24,28-Dec-24,26
TC69,ASGN27,Timecard 69,NOT APPROVED,29-Dec-24,4-Jan-25,34
TC70,ASGN29,Timecard 70,SUBMITTED,22-Dec-24,28-Dec-24,16
TC71,ASGN29,Timecard 71,SUBMITTED,29-Dec-24,4-Jan-25,36
TC72,ASGN30,Timecard 72,SUBMITTED,26-Jan-25,1-Feb-25,38
TC73,ASGN30,Timecard 73,NOT APPROVED,2-Feb-25,8-Feb-25,17
TC74,ASGN30,Timecard 74,SUBMITTED,9-Feb-25,15-Feb-25,33
TC75,ASGN32,Timecard 75,SUBMITTED,26-Jan-25,1-Feb-25,32
TC76,ASGN32,Timecard 76,SUBMITTED,2-Feb-25,8-Feb-25,31
TC77,ASGN32,Timecard 77,SUBMITTED,9-Feb-25,15-Feb-25,37
TC78,ASGN33,Timecard 78,SUBMITTED,26-Jan-25,1-Feb-25,29
TC79,ASGN33,Timecard 79,SUBMITTED,2-Feb-25,8-Feb-25,39
TC80,ASGN33,Timecard 80,SUBMITTED,9-Feb-25,15-Feb-25,38
TC81,ASGN33,Timecard 81,SUBMITTED,16-Feb-25,22-Feb-25,31
TC82,ASGN33,Timecard 82,SUBMITTED,23-Feb-25,1-Mar-25,37
TC83,ASGN34,Timecard 83,NOT APPROVED,26-Jan-25,1-Feb-25,21
TC84,ASGN34,Timecard 84,SUBMITTED,2-Feb-25,8-Feb-25,37
TC85,ASGN34,Timecard 85,SUBMITTED,9-Feb-25,15-Feb-25,17
TC86,ASGN34,Timecard 86,SUBMITTED,16-Feb-25,22-Feb-25,17
TC87,ASGN34,Timecard 87,SUBMITTED,23-Feb-25,1-Mar-25,34
TC88,ASGN40,Timecard 88,SUBMITTED,19-Jan-25,25-Jan-25,18
TC89,ASGN40,Timecard 89,NOT APPROVED,26-Jan-25,1-Feb-25,14
TC90,ASGN40,Timecard 90,SUBMITTED,2-Feb-25,8-Feb-25,17
TC91,ASGN40,Timecard 91,SUBMITTED,9-Feb-25,15-Feb-25,11
TC92,ASGN40,Timecard 92,SUBMITTED,16-Feb-25,22-Feb-25,21
TC93,ASGN40,Timecard 93,SUBMITTED,23-Feb-25,1-Mar-25,37
TC94,ASGN41,Timecard 94,SUBMITTED,9-Feb-25,15-Feb-25,38
TC95,ASGN41,Timecard 95,CANCELLED,16-Feb-25,22-Feb-25,13
TC96,ASGN41,Timecard 96,DRAFT,23-Feb-25,1-Mar-25,23
TC97,ASGN45,Timecard 97,SUBMITTED,9-Feb-25,15-Feb-25,32
TC98,ASGN46,Timecard 98,CANCELLED,9-Feb-25,15-Feb-25,38
TC99,ASGN47,Timecard 99,DRAFT,16-Feb-25,22-Feb-25,14
TC100,ASGN48,Timecard 100,SUBMITTED,16-Feb-25,22-Feb-25,19
TC101,ASGN49,Timecard 101,SUBMITTED,9-Feb-25,15-Feb-25,37
TC102,ASGN49,Timecard 102,SUBMITTED,16-Feb-25,22-Feb-25,29
TC103,ASGN49,Timecard 103,SUBMITTED,23-Feb-25,1-Mar-25,35
TC104,ASGN50,Timecard 104,SUBMITTED,9-Feb-25,15-Feb-25,15
TC105,ASGN50,Timecard 105,SUBMITTED,16-Feb-25,22-Feb-25,21
TC106,ASGN50,Timecard 106,SUBMITTED,23-Feb-25,1-Mar-25,15
TC107,ASGN51,Timecard 107,SUBMITTED,12-Jan-25,18-Jan-25,27
TC108,ASGN51,Timecard 108,SUBMITTED,19-Jan-25,25-Jan-25,14
TC109,ASGN51,Timecard 109,SUBMITTED,26-Jan-25,1-Feb-25,17
TC110,ASGN51,Timecard 110,SUBMITTED,2-Feb-25,8-Feb-25,17
TC111,ASGN51,Timecard 111,SUBMITTED,9-Feb-25,15-Feb-25,39
TC112,ASGN52,Timecard 112,CANCELLED,26-Jan-25,1-Feb-25,33
TC113,ASGN52,Timecard 113,DRAFT,2-Feb-25,8-Feb-25,15
TC114,ASGN56,Timecard 114,SUBMITTED,12-Jan-25,18-Jan-25,23
TC115,ASGN56,Timecard 115,SUBMITTED,19-Jan-25,25-Jan-25,25
TC116,ASGN56,Timecard 116,CANCELLED,26-Jan-25,1-Feb-25,13
TC117,ASGN57,Timecard 117,SUBMITTED,12-Jan-25,18-Jan-25,38
TC118,ASGN57,Timecard 118,SUBMITTED,19-Jan-25,25-Jan-25,35
TC119,ASGN57,Timecard 119,SUBMITTED,26-Jan-25,1-Feb-25,22
TC120,ASGN58,Timecard 120,SUBMITTED,12-Jan-25,18-Jan-25,21
TC121,ASGN58,Timecard 121,SUBMITTED,19-Jan-25,25-Jan-25,28
TC122,ASGN58,Timecard 122,SUBMITTED,26-Jan-25,1-Feb-25,21
TC123,ASGN59,Timecard 123,SUBMITTED,29-Dec-24,4-Jan-25,19
TC124,ASGN59,Timecard 124,SUBMITTED,5-Jan-25,11-Jan-25,13
TC125,ASGN59,Timecard 125,SUBMITTED,12-Jan-25,18-Jan-25,10
TC126,ASGN60,Timecard 126,SUBMITTED,12-Jan-25,18-Jan-25,32
TC127,ASGN60,Timecard 127,SUBMITTED,19-Jan-25,25-Jan-25,22
TC128,ASGN61,Timecard 128,NOT APPROVED,26-Jan-25,1-Feb-25,34
TC129,ASGN61,Timecard 129,NOT APPROVED,2-Feb-25,8-Feb-25,39
TC130,ASGN61,Timecard 130,NOT APPROVED,9-Feb-25,15-Feb-25,13
TC131,ASGN61,Timecard 131,NOT APPROVED,16-Feb-25,22-Feb-25,31
TC132,ASGN61,Timecard 132,DRAFT,23-Feb-25,1-Mar-25,30
TC133,ASGN62,Timecard 133,SUBMITTED,12-Jan-25,18-Jan-25,19
TC134,ASGN62,Timecard 134,SUBMITTED,19-Jan-25,25-Jan-25,14
TC135,ASGN62,Timecard 135,SUBMITTED,26-Jan-25,1-Feb-25,21
TC136,ASGN62,Timecard 136,SUBMITTED,2-Feb-25,8-Feb-25,40
TC137,ASGN63,Timecard 137,SUBMITTED,29-Dec-24,4-Jan-25,37
TC138,ASGN63,Timecard 138,SUBMITTED,5-Jan-25,11-Jan-25,36
TC139,ASGN63,Timecard 139,SUBMITTED,12-Jan-25,18-Jan-25,27
TC140,ASGN63,Timecard 140,SUBMITTED,19-Jan-25,25-Jan-25,16
TC141,ASGN64,Timecard 141,SUBMITTED,12-Jan-25,18-Jan-25,38
TC142,ASGN64,Timecard 142,SUBMITTED,19-Jan-25,25-Jan-25,27
TC143,ASGN64,Timecard 143,SUBMITTED,26-Jan-25,1-Feb-25,14
TC144,ASGN64,Timecard 144,SUBMITTED,2-Feb-25,8-Feb-25,25
TC145,ASGN64,Timecard 145,SUBMITTED,9-Feb-25,15-Feb-25,35
TC146,ASGN65,Timecard 146,SUBMITTED,19-Jan-25,25-Jan-25,27
TC147,ASGN65,Timecard 147,SUBMITTED,26-Jan-25,1-Feb-25,18
TC148,ASGN65,Timecard 148,SUBMITTED,2-Feb-25,8-Feb-25,13
TC149,ASGN65,Timecard 149,SUBMITTED,9-Feb-25,15-Feb-25,30
TC150,ASGN65,Timecard 150,SUBMITTED,16-Feb-25,22-Feb-25,26
TC151,ASGN65,Timecard 151,SUBMITTED,23-Feb-25,1-Mar-25,33
