ID,PRJ_ID,ASGN_NAME,"ASGN_STATUS
","BILL_RATE
","SUBMITTED_HOURS
","FORECASTED_HOURS
",ACTUAL_REVENUE,FORECASTED_REVENUE
ASGN44,PRJ14,Assignment Name 44,ACTIVE,$250.00 ,0,138,$0.00 ,"$34,500.00 "
ASGN45,PRJ14,Assignment Name 45,ACTIVE,$700.00 ,32,112,"$22,400.00 ","$78,400.00 "
ASGN46,PRJ14,Assignment Name 46,ACTIVE,$250.00 ,0,163,$0.00 ,"$40,750.00 "
ASGN47,PRJ14,Assignment Name 47,ACTIVE,$100.00 ,0,153,$0.00 ,"$15,300.00 "
ASGN48,PRJ14,Assignment Name 48,DRAFT,$100.00 ,19,400,"$1,900.00 ","$40,000.00 "
ASGN49,PRJ15,Assignment Name 49,COMPLETED,$250.00 ,101,0,"$25,250.00 ",$0.00 
ASGN5,PRJ2,Assignment Name 5,ACTIVE,$200.00 ,30,149,"$6,000.00 ","$29,800.00 "
ASGN50,PRJ15,Assignment Name 50,COMPLETED,$250.00 ,51,0,"$12,750.00 ",$0.00 
ASGN51,PRJ15,Assignment Name 51,COMPLETED,$100.00 ,114,0,"$11,400.00 ",$0.00 
ASGN52,PRJ15,Assignment Name 52,ACTIVE,$100.00 ,0,185,$0.00 ,"$18,500.00 "
ASGN53,PRJ15,Assignment Name 53,CANCELLED,$400.00 ,0,0,$0.00 ,$0.00 
ASGN54,PRJ15,Assignment Name 54,CANCELLED,$400.00 ,0,0,$0.00 ,$0.00 
ASGN55,PRJ15,Assignment Name 55,CANCELLED,$400.00 ,0,0,$0.00 ,$0.00 
ASGN56,PRJ16,Assignment Name 56,ACTIVE,$0.00 ,48,150,$0.00 ,$0.00 
ASGN57,PRJ16,Assignment Name 57,COMPLETED,$0.00 ,95,0,$0.00 ,$0.00 
ASGN58,PRJ16,Assignment Name 58,COMPLETED,$0.00 ,70,0,$0.00 ,$0.00 
ASGN59,PRJ16,Assignment Name 59,COMPLETED,$0.00 ,42,0,$0.00 ,$0.00 
ASGN6,PRJ2,Assignment Name 6,ACTIVE,$200.00 ,0,155,$0.00 ,"$31,000.00 "
ASGN60,PRJ16,Assignment Name 60,COMPLETED,$0.00 ,54,0,$0.00 ,$0.00 
ASGN61,PRJ17,Assignment Name 61,CANCELLED,$300.00 ,0,0,$0.00 ,$0.00 
ASGN62,PRJ20,Assignment Name 62,COMPLETED,$300.00 ,94,0,"$28,200.00 ",$0.00 
ASGN63,PRJ20,Assignment Name 63,COMPLETED,$300.00 ,116,0,"$34,800.00 ",$0.00 
ASGN64,PRJ20,Assignment Name 64,COMPLETED,$300.00 ,139,0,"$41,700.00 ",$0.00 
ASGN65,PRJ20,Assignment Name 65,COMPLETED,$200.00 ,147,0,"$29,400.00 ",$0.00 
ASGN66,PRJ20,Assignment Name 66,COMPLETED,$250.00 ,0,0,$0.00 ,$0.00 
ASGN7,PRJ3,Assignment Name 7,COMPLETED,$400.00 ,48,0,"$19,200.00 ",$0.00 
ASGN8,PRJ3,Assignment Name 8,COMPLETED,$400.00 ,91,0,"$36,400.00 ",$0.00 
ASGN9,PRJ5,Assignment Name 9,ACTIVE,$100.00 ,51,127,"$5,100.00 ","$12,700.00 "
